eegid,filename,chan,abs_delta,abs_theta,abs_alpha1,abs_alpha2,abs_beta,abs_gamma1,abs_gamma2,abs_epsilon,db_delta,db_theta,db_alpha1,db_alpha2,db_beta,db_gamma1,db_gamma2,db_epsilon,rel_delta,rel_theta,rel_alpha1,rel_alpha2,rel_beta,rel_gamma1,rel_gamma2,rel_epsilon
EGI file,0228_BBLong.raw,E1,28.5412044525146,17.4879055023193,23.0878009796143,1.52831482887268,0.830147981643677,0.658614814281464,0.845473945140839,0.864886999130249,14.342137336731,12.2899827957153,13.2330827713013,1.59351980686188,-0.954222857952118,-1.87505292892456,-0.770796000957489,-0.706786632537842,0.0519482726231217,0.0318299993458721,0.0420224510133266,0.00278170858509839,0.00151096484956465,0.00119875467898251,0.00153885986806164,0.00157419377289524
EGI file,0228_BBLong.raw,E2,17.4606189727783,13.4895877838135,21.0889625549316,1.22252249717712,0.868814766407013,0.531951248645782,0.624682068824768,0.788925409317017,12.2935476303101,11.1269111633301,12.8175354003906,0.580304026603699,-0.682790160179138,-2.76112151145935,-2.07977151870728,-1.08153927326202,0.0395779702812433,0.0305768344551325,0.0478023342788219,0.00277109055314213,0.00196934196698878,0.00120577347857476,0.00141596621570868,0.00178825652928245
EGI file,0228_BBLong.raw,E3,13.5403051376343,11.8131084442139,21.3200531005859,1.05824291706085,0.747357249259949,0.362133920192719,0.349952757358551,0.333772629499435,11.198784828186,10.554370880127,12.8224840164185,-0.110194638371468,-1.34664940834045,-4.44326305389404,-4.57992172241211,-4.80214738845825,0.0385497105307877,0.0336323270781173,0.0606989186257124,0.00301285369787365,0.00212775162820305,0.00103100764738651,0.000996327581590102,0.000950262030804695
EGI file,0228_BBLong.raw,E4,11.6930236816406,11.1101522445679,20.6682014465332,0.99822998046875,0.793710827827454,0.27327024936676,0.148039981722832,0.115686811506748,10.6135654449463,10.3009605407715,12.6604719161987,-0.342694580554962,-1.07536208629608,-5.75163078308105,-8.31888961791992,-9.40316772460938,0.0384182371199131,0.0365031746526559,0.0679068017750978,0.00327975358814001,0.00260779197394316,0.000897848380583466,0.000486395671971202,0.000380097067608392
EGI file,0228_BBLong.raw,E5,9.73025703430176,8.95942687988281,17.623950958252,0.778509497642517,0.436362713575363,0.0827868282794952,0.033197395503521,0.0261606741696596,9.83462524414062,9.37664890289307,11.928391456604,-1.53555834293365,-3.93250775337219,-11.1695547103882,-14.8168039321899,-15.8777685165405,0.042916489765048,0.0395166497263643,0.0777325935661793,0.00343371145427227,0.00192463120412348,0.000365141453050241,0.000146421163310973,0.000115384855764458
EGI file,0228_BBLong.raw,E6,5.92448711395264,5.50105047225952,12.8670167922974,0.505606651306152,0.249763622879982,0.0368410274386406,0.0109871849417686,0.00786309503018856,7.66975402832031,7.23519563674927,10.4775056838989,-3.49448776245117,-6.56941223144531,-14.8775596618652,-19.617395401001,-21.1262683868408,0.0402965238317847,0.0374164411591159,0.0875174514949322,0.00343897982966155,0.00169881469503577,0.000250581251891038,7.47314234397509e-05,5.34823318704656e-05
EGI file,0228_BBLong.raw,E7,0.00763213587924838,0.004923683591187,0.0105835124850273,0.00205983477644622,0.00152766704559326,0.00120474759023637,0.00100536388345063,0.00129959871992469,-21.2797088623047,-23.1301937103271,-20.2636585235596,-26.912036895752,-28.1851673126221,-29.2315139770508,-29.9795150756836,-29.6811218261719,0.0169491674751043,0.0109343360074692,0.0235034758225083,0.00457440563477576,0.0033925872429141,0.00267545917692284,0.00223267507258682,0.00288610133236345
EGI file,0228_BBLong.raw,E8,53.1617202758789,22.375846862793,23.955997467041,1.6279604434967,0.738314092159271,0.328786134719849,0.302639335393906,0.313534319400787,16.9884986877441,13.3938407897949,13.396146774292,1.88079261779785,-1.56413555145264,-4.86380529403687,-5.21396970748901,-5.06758880615234,0.0896871015429497,0.0377494403057628,0.040415246412158,0.00274646976031363,0.00124558153163109,0.000554682539123129,0.000510571378981695,0.000528951736588526
EGI file,0228_BBLong.raw,E9,20.7572822570801,15.0549621582031,23.4996795654297,1.97063612937927,5.21807384490967,3.2724552154541,1.91960597038269,1.10453295707703,12.9931669235229,11.6689424514771,13.2611131668091,2.87724947929382,6.81236219406128,5.12533855438232,2.81995487213135,0.302821934223175,0.0236592441797256,0.0171597128113111,0.0267850385978818,0.00224613987375051,0.00594758412667683,0.00372995914179174,0.00218797573113754,0.00125895165086759
EGI file,0228_BBLong.raw,E10,14.7304534912109,13.6614637374878,22.5441646575928,1.10955393314362,1.17186498641968,0.61129903793335,0.390693545341492,0.244949117302895,11.5666980743408,11.2219429016113,13.0422306060791,0.173339083790779,0.626183092594147,-2.20655298233032,-4.09034204483032,-6.2173285484314,0.0367286955006421,0.034063287700216,0.0562112838029861,0.00276654509361833,0.00292191055736371,0.00152420390205567,0.000974149514560498,0.000610752524130188
